id,title,category,description,body
first-post,コーポレートサイトをリニューアルしました,お知らせ,コーポレートサイトを全面リニューアルし、よりお客様に情報が伝わるサイトに刷新しました。,<p>このたび、株式会社藤島製作所のコーポレートサイトを全面リニューアルいたしました。</p><p>スマートフォンでの閲覧にも対応し、事業内容や技術情報をより分かりやすくお伝えできるサイトを目指して制作いたしました。</p><p>今後も情報発信を強化してまいりますので、引き続きよろしくお願い申し上げます。</p>
second-post,5軸マシニングセンタを増設しました,設備,高精度加工の生産能力強化のため、5軸マシニングセンタを新たに導入しました。,<p>生産能力強化および加工精度向上のため、本社工場に5軸マシニングセンタを新たに1台導入いたしました。</p><p>これにより、従来は段取り替えが必要だった複雑形状部品も一度の段取りで加工できるようになり、納期短縮および精度向上が見込まれます。</p><p>試作品から量産まで、より高品質なご提供が可能となりますので、ぜひお気軽にご相談ください。</p>
third-post,年末年始の営業について,お知らせ,年末年始の営業日についてご案内いたします。,<p>平素は格別のお引き立てを賜り、誠にありがとうございます。<br>弊社の年末年始の営業日についてご案内いたします。</p><ul><li>休業期間：12月29日(月) 〜 1月4日(日)</li><li>営業開始：1月5日(月)</li></ul><p>休業期間中にいただいたお問い合わせは、1月5日以降に順次ご対応させていただきます。<br>ご不便をおかけいたしますが、何卒よろしくお願い申し上げます。</p>
post-04,ISO 14001 認証を取得しました,認証,環境マネジメントシステムの国際規格 ISO 14001 認証を取得いたしました。,<p>このたび、本社工場および第二工場の全事業所において、環境マネジメントシステムの国際規格 <strong>ISO 14001:2015</strong> の認証を取得いたしました。</p><p>今後も環境負荷低減・省エネルギー活動に継続的に取り組み、持続可能なものづくりを推進してまいります。</p>
post-05,2026年度 新卒採用エントリー受付開始,採用,2026年度の新卒採用エントリーの受付を開始しました。,<p>2026年度の新卒採用エントリーの受付を開始いたしました。</p><p>機械設計エンジニア・生産技術エンジニアを中心に、ものづくりに情熱を持った方を募集しております。</p><p>工場見学・OB訪問も随時受け付けておりますので、お気軽にお問い合わせください。</p>
post-06,「ものづくり北海道2026」に出展いたします,イベント,北海道最大級の製造業展示会「ものづくり北海道2026」に出展いたします。,<p>2026年6月10日(水)〜12日(金)に札幌コンベンションセンターで開催される <strong>「ものづくり北海道2026」</strong> に出展いたします。</p><p>弊社ブースでは、最新の5軸加工事例や試作開発支援サービスをご紹介予定です。<br>ご来場の際は、ぜひお立ち寄りくださいませ。</p><ul><li>会期：2026年6月10日(水) 〜 12日(金)</li><li>会場：札幌コンベンションセンター</li><li>ブース：B-12</li></ul>
post-07,電話受付時間変更のお知らせ,お知らせ,働き方改革推進に伴い、電話受付時間を変更いたします。,"<p>働き方改革推進および従業員の労働環境改善のため、2026年3月1日より電話受付時間を以下の通り変更いたします。</p><ul><li>変更前：8:30 〜 18:00</li><li>変更後：9:00 〜 17:30</li></ul><p>時間外のお問い合わせは <a href=""/contact/"">お問い合わせフォーム</a> よりお願いいたします。<br>お客様にはご不便をおかけいたしますが、ご理解のほどよろしくお願い申し上げます。</p>"
post-08,工場見学受け入れを再開いたします,お知らせ,長らく中止しておりました工場見学の受け入れを2026年4月より再開いたします。,<p>長らく中止しておりました工場見学の受け入れを、2026年4月より再開いたします。</p><p>精密機械加工の現場や5軸マシニングセンタの稼働の様子を実際にご覧いただけます。<br>お取引先様・採用候補者の方を主な対象としておりますので、ご希望の方はお問い合わせフォームよりお申し込みください。</p>
post-09,スマートファクトリー化の取り組みが業界紙に掲載されました,メディア,製造業専門誌「○○マニュファクチャリング」（2026年2月号）に弊社のDX事例が掲載されました。,<p>製造業専門誌「○○マニュファクチャリング」2026年2月号に、弊社のスマートファクトリー化に向けた取り組みが事例として掲載されました。</p><ul><li>加工データの自動収集</li><li>AIによる加工不良予測</li><li>紙帳票の完全廃止</li></ul><p>など、現場主導で進めているDXの内容をご紹介いただいております。お手にとってご覧いただければ幸いです。</p>
post-10,第二工場が完成いたしました,お知らせ,生産能力強化のため建設を進めておりました第二工場が完成いたしました。,"<p>かねてより建設を進めておりました第二工場が完成し、2026年1月より稼働を開始いたしました。</p><p>第二工場では主に大型部品の加工に対応し、本社工場と合わせて生産能力が約1.5倍に増強されます。<br>今後もお客様のご要望に柔軟にお応えできる体制を整えてまいります。</p><ul><li>所在地：北海道札幌市東区YY町2-3-4</li><li>延床面積：3,200㎡</li><li>稼働開始：2026年1月15日</li></ul>"
post-11,年末年始休業のお知らせ,お知らせ,2025年末から2026年始の休業期間についてご案内いたします。,<p>誠に勝手ながら、下記の期間を年末年始休業とさせていただきます。</p><ul><li>休業期間：2025年12月29日(月) 〜 2026年1月4日(日)</li><li>営業再開：2026年1月5日(月)</li></ul><p>休業期間中のお問い合わせにつきましては、営業再開後に順次対応させていただきます。</p>
